#	Гэрээний нэр	Эрдсийн төрөл	Гэрээний төрөл	Гэрээ байгуулсан огноо	Баримт бичгийн төрөл	Гэрээ байгуулсан төрийн байгууллага	Компанийн нэр	Төслийн нэр	Гэрээний файл	OCID	Аннотацийн текст	Метадата текст
1.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2024-08-30	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Алтан солбидог		https://beta-api.iltodgeree.mn/api/contracts/download/1366/pdf	ocds-591adf-MN7166782505RC		" Бичил уурхайгаар ашигт малтмал олборлох гэрээ mn MN Mongolia 41 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Гүйцэтгэх захирал Contract Artisanal mining agreement 2024-08-30 2025-08-30 2024 3011186 Алтан солбидог Архангай аймгийн Цэнхэр сум Нөхөрлөлийн ахлагч 1 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Company rc 0 -1 -1 1 612472 ocds-591adf-MN7166782505RC https://www.admin.iltodgeree.mn/app/1366/1366-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.pdf https://www.admin.iltodgeree.mn/app/1366/1366-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.txt 1 37 1 37"
2.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2023-09-11	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Бодьгал орхон		https://beta-api.iltodgeree.mn/api/contracts/download/1280/pdf	ocds-591adf-MN9700297993RC		" Бичил уурхайгаар ашигт малтмал олборлох гэрээ mn MN Mongolia 41 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Гүйцэтгэх захирал Contract Artisanal mining agreement 2023-09-11 2024-09-11 2023 3011526 Бодьгал орхон Архангай аймгийн Цэнхэр сум Нөхөрлөлийн ахлагч 1 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Company rc 0 -1 -1 1 611996 ocds-591adf-MN9700297993RC https://www.admin.iltodgeree.mn/app/1280/1280-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.pdf https://www.admin.iltodgeree.mn/app/1280/1280-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.txt 1 37 1 37"
3.	БОАЖЯ, АМГТГ, МХЕГ, Архангай аймаг болон Алтайголд  ХХК-ийн MV-012470 тоот тусгай зөвшөөрлийн талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ	Алт;	Бусад	2019-06-17	Гэрээ	БОАЖЯ;АМГТГ;МХЕГ;Архангай аймгийн ЗДТГ;	Алтайголд ХХК	Ар чулуут алтны шороон орд	https://beta-api.iltodgeree.mn/api/contracts/download/1104/pdf	ocds-591adf-MN0334223090RC		" БОАЖЯ, АМГТГ, МХЕГ, Архангай аймаг болон Алтайголд  ХХК-ийн MV-012470 тоот тусгай зөвшөөрлийн талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ mn MN Mongolia 41 БОАЖЯ ХБОБНУГ-ын дарга П.Цогтсайхан АМГТГ УУҮТХ-ийн дарга Д.Хангай МХЕГ ГУУХХ-ийн дарга С.Батмөнх-Эрдэнэ Архангай аймгийн ЗДТГ Засаг дарга Ц.Мөнхнасан Contract Олборлолт явуулж эхэлсэн тусгай зөвшөөрөл бүхий талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ 2019-06-17 2019 Алтайголд ХХК захирал Б.Батжаргал -1 Ар чулуут алтны шороон орд MV-012470 Government rc 0 -1 -1 1 4327494 ocds-591adf-MN0334223090RC https://www.iltodgeree.mn/rc_admin/app/1104/1104-boazhya-amgtg-mkheg-arkhangay-aymag-bolon-altaygold-khkhk-iyn-mv-012470-toot-tusgay-zvshrliyn-talbayd-kholbogdokh-arga-khemzhee-avakh-nkhn-sergeekh-yl....pdf https://www.iltodgeree.mn/rc_admin/app/1104/1104-boazhya-amgtg-mkheg-arkhangay-aymag-bolon-altaygold-khkhk-iyn-mv-012470-toot-tusgay-zvshrliyn-talbayd-kholbogdokh-arga-khemzhee-avakh-nkhn-sergeekh-yl.txt 1 37 1 37"
4.	БОАЖЯ, АМГТГ, МХЕГ, Архангай аймаг болон Голден хаммер  ХХК-ийн MV-004780 тоот тусгай зөвшөөрлийн талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ	Алт;	Бусад	2019-05-28	Гэрээ	БОАЖЯ;АМГТГ;МХЕГ;Архангай аймгийн ЗДТГ;	Голден хаммер ХХК	Бодонтын амны алтны шороон орд	https://beta-api.iltodgeree.mn/api/contracts/download/1103/pdf	ocds-591adf-MN3917500029RC		" БОАЖЯ, АМГТГ, МХЕГ, Архангай аймаг болон Голден хаммер  ХХК-ийн MV-004780 тоот тусгай зөвшөөрлийн талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ mn MN Mongolia 41 БОАЖЯ ХБОБНУГ-ын дарга П.Цогтсайхан АМГТГ УУҮТХ-ийн дарга Д.Хангай МХЕГ ГУУХХ-ийн дарга С.Батмөнх-Эрдэнэ Архангай аймгийн ЗДТГ Засаг дарга Ц.Мөнхнасан Contract Олборлолт явуулж эхэлсэн тусгай зөвшөөрөл бүхий талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ 2019-05-28 2019 Голден хаммер ХХК Гүйцэтгэх захирал Ч.Очирхуяг -1 Бодонтын амны алтны шороон орд MV-004780 Government rc 0 -1 -1 1 1486170 ocds-591adf-MN3917500029RC https://www.iltodgeree.mn/rc_admin/app/1103/1103-boazhya-amgtg-mkheg-arkhangay-aymag-bolon-golden-khammer-khkhk-iyn-mv-004780-toot-tusgay-zvshrliyn-talbayd-kholbogdokh-arga-khemzhee-avakh-nkhn-sergee....pdf https://www.iltodgeree.mn/rc_admin/app/1103/1103-boazhya-amgtg-mkheg-arkhangay-aymag-bolon-golden-khammer-khkhk-iyn-mv-004780-toot-tusgay-zvshrliyn-talbayd-kholbogdokh-arga-khemzhee-avakh-nkhn-sergee.txt 1 37 1 37"
5.	БОАЖЯ, АМГТГ, МХЕГ, Архангай аймаг болон Монгол газар ХХК-ийн MV-002426 тоот тусгай зөвшөөрлийн талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ	Алт;	Бусад	2019-05-10	Гэрээ	БОАЖЯ;АМГТГ;МХЕГ;Архангай аймгийн ЗДТГ;	Монгол газар ХХК	Өлийн голын алтны шороон орд	https://beta-api.iltodgeree.mn/api/contracts/download/1102/pdf	ocds-591adf-MN1102089628RC		" БОАЖЯ, АМГТГ, МХЕГ, Архангай аймаг болон Монгол газар ХХК-ийн MV-002426 тоот тусгай зөвшөөрлийн талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ mn MN Mongolia 41 БОАЖЯ ХБОБНУГ-ын дарга П.Цогтсайхан АМГТГ УУҮТХ-ийн дарга Д.Хангай МХЕГ ГУУХХ-ийн дарга С.Батмөнх-Эрдэнэ Архангай аймгийн ЗДТГ Засаг дарга Ц.Мөнхнасан Contract Тусгай зөвшөөрлийн талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ 2019-05-10 2019 Монгол газар ХХК Захирал Ц.Мянганбаяр -1 Өлийн голын алтны шороон орд MV-002426 Government rc 0 -1 -1 1 1479641 ocds-591adf-MN1102089628RC https://www.iltodgeree.mn/rc_admin/app/1102/1102-boazhya-amgtg-mkheg-arkhangay-aymag-bolon-mongol-gazar-khkhk-iyn-mv-002426-toot-tusgay-zvshrliyn-talbayd-kholbogdokh-arga-khemzhee-avakh-nkhn-sergeekh....pdf https://www.iltodgeree.mn/rc_admin/app/1102/1102-boazhya-amgtg-mkheg-arkhangay-aymag-bolon-mongol-gazar-khkhk-iyn-mv-002426-toot-tusgay-zvshrliyn-talbayd-kholbogdokh-arga-khemzhee-avakh-nkhn-sergeekh.txt 1 37 1 37"
6.	"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Голден хаммер"" ХХК]"	Алт;	Бусад	2017-10-16	Гэрээ	Ашигт малтмал, газрын тосны газар;	Голден хаммер ХХК		https://beta-api.iltodgeree.mn/api/contracts/download/458/pdf	ocds-591adf-MN1000996983RC		" Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Голден хаммер"" ХХК] mn MN Mongolia 41 Ашигт малтмал, газрын тосны газар Гэрээ Улсын төсвийн хөрөнгөөр хийсэн хайгуулын ажлын зардлын нөхөн төлбөрийн гэрээ 2017-10-16 2017 5045894 Голден хаммер ХХК Улаанбаатар хот, Баянзүрх дүүрэг, 1-р хороо, 12-р хороолол, Утас 70159000 1 MV-004780 Government rc 0 -1 -1 1 2438751 ocds-591adf-MN1000996983RC http://admin.iltodgeree.mn/app/458/458-ulsyn-tsvs-khayguulyn-azhild-garsan-zardlyg-nkhn-tlkh-tukhay-geree-golden-khammer-khkhk.pdf http://admin.iltodgeree.mn/app/458/458-ulsyn-tsvs-khayguulyn-azhild-garsan-zardlyg-nkhn-tlkh-tukhay-geree-golden-khammer-khkhk.txt 1 37 1 37"
7.	БОНХАЖЯ, АМГ, МХЕГ, Архангай  аймаг болон БМНС ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ	Алт;	Гол мөрний урсац бүрэлдэх эх, усны сан бүхий газрын хамгаалалтын бүс, ойн сан бүхий газарт ашигт малтмал хайх, ашиглахыг хориглох тухай хуулийн дагуу хийгдэх гэрээ	2016-07-18	Гэрээ	Байгаль орчин, ногоон хөгжил, аялал жуулчлалын яам;	БМНС ХХК	Өлзийт Тээл алтны шороон орд ашиглах	https://beta-api.iltodgeree.mn/api/contracts/download/299/pdf	ocds-591adf-MN0115798948RC		" БОНХАЖЯ, АМГ, МХЕГ, Архангай  аймаг болон БМНС ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ mn MN Mongolia 41 Байгаль орчин, ногоон хөгжил, аялал жуулчлалын яам Contract Contract under the Law on Prohibiting minerals exploration and exploitation in water heads and protected zone of rivers and forested  areas 2016-07-18 2016 2801299 БМНС ХХК 1 Өлзийт Тээл алтны шороон орд ашиглах MV -001410 MV-00001410 Government rc 0 -1 -1 1 3121671 ocds-591adf-MN0115798948RC http://admin.iltodgeree.mn/app/299/299-bonkhazhya-amg-mkheg-arkhangai-aimag-bolon-bmns-khkhk-iin-khoorond-baiguulsan-nkhn-sergeekh-il-azhillagaany-geree.pdf http://admin.iltodgeree.mn/app/299/299-bonkhazhya-amg-mkheg-arkhangai-aimag-bolon-bmns-khkhk-iin-khoorond-baiguulsan-nkhn-sergeekh-il-azhillagaany-geree.txt 1 37 1 37"
