#	Гэрээний нэр	Эрдсийн төрөл	Гэрээний төрөл	Гэрээ байгуулсан огноо	Баримт бичгийн төрөл	Гэрээ байгуулсан төрийн байгууллага	Компанийн нэр	Төслийн нэр	Гэрээний файл	OCID	Аннотацийн текст	Метадата текст
243.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Цээпил хишиг			ocds-591adf-MN2580843540RC		
244.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Гунгаа гүндэг			ocds-591adf-MN1100404675RC		
245.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Бигэр гол			ocds-591adf-MN3510776562RC		
246.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Дээд сүм			ocds-591adf-MN2279868249RC		
247.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Далтын булаг 9			ocds-591adf-MN9441251484RC		
248.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Шандын гэрэл гэгээ			ocds-591adf-MN5605354748RC		
249.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Өвөр бэл			ocds-591adf-MN7625632522RC		
250.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Есөн эв нэгдэл			ocds-591adf-MN4458489321RC		
251.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Ээлт говийн сор			ocds-591adf-MN2360535717RC		
252.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Хулстайн хишиг			ocds-591adf-MN1999149468RC		
253.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Эрдэнэс олдсон			ocds-591adf-MN2026770701RC		
254.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Хишиг алтай			ocds-591adf-MN1513500878RC		
255.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2022-11-25	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Модун содун цамхаг			ocds-591adf-MN1445861020RC		
