#	Гэрээний нэр	Эрдсийн төрөл	Гэрээний төрөл	Гэрээ байгуулсан огноо	Баримт бичгийн төрөл	Гэрээ байгуулсан төрийн байгууллага	Компанийн нэр	Төслийн нэр	Гэрээний файл	OCID	Аннотацийн текст	Метадата текст
1.	ОРХОН АЙМАГ, “ЭРДМИН” ХХК-ИЙН  2025 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ	Зэс;	Бусад	2025-01-31	Загвар гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	Эрдмин ХХК		https://beta-api.iltodgeree.mn/api/contracts/download//pdf	ocds-591adf-MN8223166332RC		" ОРХОН АЙМАГ, “ЭРДМИН” ХХК-ИЙН  2025 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ mn MN Mongolia зэс Орхон аймгийн Засаг даргын Тамгын газар Орхон аймгийн Засаг дарга Б.Зоригтбаяр Model Contract test 2025-01-31 2025-12-31 2025 2073358 Эрдмин ХХК Орхон, Баян-Өндөр, Баянцагаан баг, үйлдвэрийн раойн Эрдмин ХХК-ийн ерөнхий захирал С.Мөнхбаяр -1 rc 0 -1 -1 1 1611005 ocds-591adf-MN8223166332RC https://admin.iltodgeree.mn/app/1393/1393-orkhon-aymag-erdmin-khkhk-iyn-2025-ony-khamtyn-azhillagaany-tolovlogoo.pdf https://admin.iltodgeree.mn/app/1393/1393-orkhon-aymag-erdmin-khkhk-iyn-2025-ony-khamtyn-azhillagaany-tolovlogoo.txt 21 374 21 374"
2.	ОРХОН АЙМАГ, “ЭРДМИН” ХХК-ИЙН  ХАМТРАН АЖИЛЛАХ ГЭРЭЭ	Зэс;	Бусад	2025-01-30	Загвар гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	Эрдмин ХХК		https://beta-api.iltodgeree.mn/api/contracts/download//pdf	ocds-591adf-MN0113539065RC		" ОРХОН АЙМАГ, “ЭРДМИН” ХХК-ИЙН  ХАМТРАН АЖИЛЛАХ ГЭРЭЭ mn MN Mongolia 30 Орхон аймгийн Засаг даргын Тамгын газар Орхон аймгийн Засаг дарга Б.Зоригтбаяр Model Contract test 2025-01-30 2028-12-31 2025 2073358 Эрдмин ХХК Орхон, Баян-Өндөр, Баянцагаан баг, үйлдвэрийн бүс Эрдмин ХХК-ийн ерөнхий захирал С.Мөнхбаяр -1 rc 0 -1 -1 1 1996696 ocds-591adf-MN0113539065RC https://admin.iltodgeree.mn/app/1392/1392-orkhon-aymag-erdmin-khkhk-iyn-khamtran-azhillakh-geree.pdf https://admin.iltodgeree.mn/app/1392/1392-orkhon-aymag-erdmin-khkhk-iyn-khamtran-azhillakh-geree.txt 21 374 21 374"
3.	ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН ХАМТЫН АЖИЛЛАГААНЫ ГЭРЭЭ	Зэс;	Бусад	2025-01-30	Загвар гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	АЧИТ ИХТ ХХК		https://beta-api.iltodgeree.mn/api/contracts/download//pdf	ocds-591adf-MN0358859208RC		" ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН ХАМТЫН АЖИЛЛАГААНЫ ГЭРЭЭ mn MN Mongolia 30 Орхон аймгийн Засаг даргын Тамгын газар Орхон аймгийн Засаг дарга Б.Зоригтбаяр Model Contract test 2025-01-30 2028-12-31 2025 2788705 АЧИТ ИХТ ХХК Орхон, Баян-Өндөр, Баянцагаан баг, үйлдвэрийн раойн Ачит-Ихт ХХК-ийн Үйлдвэрийн Захирал И.Батболд -1 rc 0 -1 -1 1 2054308 ocds-591adf-MN0358859208RC https://admin.iltodgeree.mn/app/1390/1390-orkhon-aymag-achit-ikht-khkhk-iyn-khamtyn-azhillagaany-geree.pdf https://admin.iltodgeree.mn/app/1390/1390-orkhon-aymag-achit-ikht-khkhk-iyn-khamtyn-azhillagaany-geree.txt 21 374 21 374"
4.	ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН  2025 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ	Зэс;	Бусад	2025-01-30	Загвар гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	АЧИТ ИХТ ХХК		https://beta-api.iltodgeree.mn/api/contracts/download//pdf	ocds-591adf-MN0358859208RC-1391		" ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН  2025 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ mn MN Mongolia 30 Орхон аймгийн Засаг даргын Тамгын газар Загвар гэрээ Тест 2025-01-30 2025-12-31 2025 2788705 АЧИТ ИХТ ХХК Орхон, Баян-Өндөр, Баянцагаан баг, үйлдвэрийн раойн -1 rc 1 -1 -1 1 1286576 ocds-591adf-MN0358859208RC-1391 https://admin.iltodgeree.mn/app/1391/1391-orkhon-aymag-achit-ikht-khkhk-iyn-2025-ony-khamtyn-azhillagaany-tolovlogoo.pdf https://admin.iltodgeree.mn/app/1391/1391-orkhon-aymag-achit-ikht-khkhk-iyn-2025-ony-khamtyn-azhillagaany-tolovlogoo.txt 1390 ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН ХАМТЫН АЖИЛЛАГААНЫ ГЭРЭЭ 21 374 21 374"
5.	Орхон аймаг, Зэс эрдэнийн хувь ХХК-ийн 2025 оны хамтын ажиллагааны төлөвлөгөө	Зэс;	Бусад	2025-01-30	Загвар гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	Зэс эрдэнийн хувь ХХК		https://beta-api.iltodgeree.mn/api/contracts/download//pdf	ocds-591adf-MN5140443696RC		" Орхон аймаг, Зэс эрдэнийн хувь ХХК-ийн 2025 оны хамтын ажиллагааны төлөвлөгөө mn MN Mongolia 30 Орхон аймгийн Засаг даргын Тамгын газар Загвар гэрээ Тест 2025-01-30 2025-12-31 2025 2073358 Зэс эрдэнийн хувь ХХК Орхон, Баян-Өндөр, Цагаанчулуут баг -1 rc 0 -1 -1 1 1366029 ocds-591adf-MN5140443696RC https://admin.iltodgeree.mn/app/1395/1395-orkhon-aymag-zes-erdeniyn-khuv-khkhk-iyn-2025-ony-khamtyn-azhillagaany-tlvlg.pdf https://admin.iltodgeree.mn/app/1395/1395-orkhon-aymag-zes-erdeniyn-khuv-khkhk-iyn-2025-ony-khamtyn-azhillagaany-tlvlg.txt 21 374 21 374"
6.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2025-01-22	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Баялаг ундрагатай наран	Хамар буянтын адаг	https://beta-api.iltodgeree.mn/api/contracts/download//pdf	ocds-591adf-MN5860466568RC		" Бичил уурхайгаар ашигт малтмал олборлох гэрээ mn MN Mongolia 41 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Гүйцэтгэх захирал Contract Artisanal mining agreement 2025-01-22 2026-01-22 2025 3768775 Баялаг ундрагатай наран Сэлэнгэ аймгийн Баянгол сум Нөхөрлөлийн ахлагч 1 Хамар буянтын адаг ASM-00329 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Company rc 0 -1 -1 1 571390 ocds-591adf-MN5860466568RC https://www.admin.iltodgeree.mn/app/1388/1388-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.pdf https://www.admin.iltodgeree.mn/app/1388/1388-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.txt 13 235 13 235"
7.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Хайлуур Жонш;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2025-01-17	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Өндөр баялаг шувуут	Улаан өндөр-2	https://beta-api.iltodgeree.mn/api/contracts/download//pdf	ocds-591adf-MN4672069645RC		" Бичил уурхайгаар ашигт малтмал олборлох гэрээ mn MN Mongolia 35 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Гүйцэтгэх захирал Contract Artisanal mining agreement 2025-01-17 2026-01-17 2025 4216377 Өндөр баялаг шувуут Хэнтий аймгийн Батноров сум Нөхөрлөлийн ахлагч 1 Улаан өндөр-2 ASM-00319 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Company rc 0 -1 -1 1 475786 ocds-591adf-MN4672069645RC https://www.admin.iltodgeree.mn/app/1389/1389-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.pdf https://www.admin.iltodgeree.mn/app/1389/1389-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.txt 18 338 18 338"
8.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Хайлуур Жонш;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2025-01-13	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Дамдин чойням	Улаан өндөр-2	https://beta-api.iltodgeree.mn/api/contracts/download//pdf	ocds-591adf-MN1766243547RC		" Бичил уурхайгаар ашигт малтмал олборлох гэрээ mn MN Mongolia 35 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Гүйцэтгэх захирал Contract Artisanal mining agreement 2025-01-13 2026-01-13 2025 4214102 Дамдин чойням Хэнтий аймгийн Батноров сум Нөхөрлөлийн ахлагч 1 Улаан өндөр-2 ASM-00319 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Company rc 0 -1 -1 1 543469 ocds-591adf-MN1766243547RC https://www.admin.iltodgeree.mn/app/1387/1387-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.pdf https://www.admin.iltodgeree.mn/app/1387/1387-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.txt 18 338 18 338"
9.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2024-12-24	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Орхон нутгийн буян	Цагаан гозгор	https://beta-api.iltodgeree.mn/api/contracts/download//pdf	ocds-591adf-MN4975446043RC		" Бичил уурхайгаар ашигт малтмал олборлох гэрээ mn MN Mongolia 41 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Гүйцэтгэх захирал Contract Artisanal mining agreement 2024-12-24 2025-12-24 2024 3759407 Орхон нутгийн буян Сэлэнгэ аймгийн Орхонтуул сум Нөхөрлөлийн ахлагч 1 Цагаан гозгор ASM-00330 Монголын бичил уурхайн нэгдсэн дээвэр холбоо Company rc 0 -1 -1 1 536907 ocds-591adf-MN4975446043RC https://www.admin.iltodgeree.mn/app/1384/1384-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.pdf https://www.admin.iltodgeree.mn/app/1384/1384-bichil-uurkhaygaar-ashigt-maltmal-olborlokh-geree.txt 13 241 13 241"
10.	Орон нутгийн хамтын ажиллагааны гэрээ 2024-14	Хайлуур Жонш;	Орон нутагтай хамтран ажиллах гэрээ	2024-12-23	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Уулбаян сумын ЗДТГ;	Сунхунголд ХХК	Алтан овоо	https://beta-api.iltodgeree.mn/api/contracts/download//pdf	ocds-591adf-MN9801095136RC		" Орон нутгийн хамтын ажиллагааны гэрээ 2024-14 mn MN Mongolia 35 Сүхбаатар аймгийн ЗДТГ, Уулбаян сумын ЗДТГ Аймаг, сумын Засаг дарга нар Model Contract Localcooperation agreement 2024-12-23 2024-12-31 2024 Сунхунголд ХХК Сүхбаатар аймаг, Уулбаян сум Wu Dong Wo -1 Алтан овоо MV-009918 Сүхбаатар аймгийн ЗДТГ Government rc 0 -1 -1 1 459315 ocds-591adf-MN9801095136RC https://admin.iltodgeree.mn/app/1408/1408-oron-nutgiyn-khamtyn-azhillagaany-geree-2024-14.pdf https://admin.iltodgeree.mn/app/1408/1408-oron-nutgiyn-khamtyn-azhillagaany-geree-2024-14.txt 12 229 12 229"
