#,Гэрээний нэр,Эрдсийн төрөл,Гэрээний төрөл,Гэрээ байгуулсан огноо,Баримт бичгийн төрөл,Гэрээ байгуулсан төрийн байгууллага,Компанийн нэр,Төслийн нэр,Гэрээний файл,OCID,Аннотацийн текст,Метадата текст
466,Хамтран ажиллах гэрээ- Их ундрага майнинг ХХК,,,2019-03-30,Contract,,,Бат-Өлзийт,,ocds-591adf-MN9538884357RC,,
467,Хамтран ажиллах гэрээ,,,2019-03-30,Social Agreement,,,,,ocds-591adf-MN2907276470RC,,
468,Хамтран ажиллах гэрээ- Жотойн Бажууна ХХК,,,2019-03-30,Social Agreement,,,Бат-Өлзийт,,ocds-591adf-MN5072741989RC,,
469,Хамтран ажиллах гэрээ- Илт Гоулд ХХК,,,2019-03-29,Contract,,,Бат-Өлзийт,,ocds-591adf-MN7857817061RC,,
470,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай гэрээ",,,2019-03-29,Social Agreement,,,,,ocds-591adf-MN3907963003RC,,
471,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай гэрээ",,,2019-03-29,Social Agreement,,,,,ocds-591adf-MN2979445439RC,,
472,Хамтран ажиллах гэрээ-Улз гол ХХК,,,2019-03-29,Contract,,,,,ocds-591adf-MN6180315357RC,,
473,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай гэрээ",,,2019-03-29,Social Agreement,,,,,ocds-591adf-MN6523764924RC,,
474,Хамтран ажиллах гэрээ-Гурван тамга ХХК,,,2019-03-29,Contract,,,Бат-Өлзийт,,ocds-591adf-MN5076610668RC,,
475,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай гэрээ",,,2019-03-29,Social Agreement,,,,,ocds-591adf-MN7740493956RC,,
476,Хамтран ажиллах гэрээ-Заамар Гоулд,,,2019-03-29,Social Agreement,,,Бат-Өлзийт,,ocds-591adf-MN6124982722RC,,
477,Хамтран ажиллах гэрээ- Цариг шонхор  ХХК,,,2019-03-29,Social Agreement,,,Бат-Өлзийт,,ocds-591adf-MN3030779299RC,,
478,Хамтран ажиллах гэрээ,,,2019-03-26,Contract,,,,,ocds-591adf-MN3351857635RC,,
479,Хамтран ажиллах гэрээ,,,2019-03-26,Contract,,,,,ocds-591adf-MN8571093205RC,,
480,Хамтран ажиллах гэрээ,,,2019-03-26,Contract,,,,,ocds-591adf-MN7321750677RC,,
481,Хамтран ажиллах гэрээ,,,2019-03-26,Contract,,,,,ocds-591adf-MN3515111704RC,,
